obs,aluminum,barley,beef,coal,cocoa,coffee,rapeseed_oil,copper,cotton,hides,lamb,lead,soft_logs,hard_logs,maize,nickel,oil_brent,oil_DF,oil_WTI,olive_oil,swine,poultry,rice,rubber,fish,hard_sawnwood,soft_sawnwood,shrimp,sunflower_oil,tea,tin,uranium,wheat,wool,zinc,gold,silver,platinum,cpi
2014M09,84.4718966766382,112.710011098082,220.093129534435,203.154113796585,250.029629930277,138.450366700749,159.618478026836,265.709215922791,110.292087045327,107.073584944066,75.4004392827118,319.87354275954,74.0592038728933,102.482915607871,125.117044895128,154.622006009689,275.146388649643,298.290880668475,244.308158891369,80.1842788496655,138.871869707054,138.984066773435,125.731601950352,182.063647072006,101.152328104148,98.5115355269453,79.0924091884886,91.9970616631462,163.543803736929,72.8404455271717,253.713037793741,256.588291923206,160.800400988586,257.924947303487,138.798082200852,310.902099837666,254.094833917918,220.236843368443,237.477
2014M10,82.6106188337326,102.240266198046,215.803409488014,195.975739882571,240.729144860416,148.31142295262,163.096802719496,260.551236204067,105.745442393522,107.007849114911,73.9719236303713,307.398022745219,74.2260402785722,101.800771553362,125.328987173444,135.59479620623,246.740965232275,266.751684534458,220.93102577942,76.4803776923059,140.789447795849,139.467101832464,124.660551179997,179.414175114744,98.9797618577313,97.0632739378384,76.4664696027889,96.7937609110781,173.839395395554,80.1229937761896,238.601492778035,266.942876302147,160.492549033971,253.096720636654,137.750753513809,306.864796948651,236.263849027645,203.690575563362,237.43
2014M11,87.4174961391472,104.958261438891,211.808250585595,191.637769905428,226.269711053162,139.341686708057,161.308768432405,260.08848228503,101.700658423249,106.515735281818,72.778929358432,307.360449746402,77.2996484265085,94.7709672137921,137.348138858723,135.804850333725,222.188304274883,236.493838854632,198.536341785962,81.7179820662748,119.265537777229,139.782920075755,120.942400633349,181.494125560289,106.199671688963,95.4852277948591,81.632160753801,96.2896026356351,178.196201280489,76.2456115920966,241.499416196486,303.689890672565,164.811243012974,251.498135632688,136.579997911401,295.82754283102,219.951176533615,195.827459824395,236.983
2014M12,81.4557085410114,107.631764734052,194.659735426828,191.748229809037,229.923226506667,131.675005547406,158.455556346926,250.539744394579,103.19374332605,100.345555681372,71.5886841129397,294.328451480645,78.6702194382468,92.5633731086259,137.776198852864,137.560823143545,176.631577475378,186.701344349156,155.475456991679,85.3869022148116,114.991311312182,140.006222950957,118.924737786411,178.409724330326,113.916550631938,94.9186598429125,82.4045816206373,94.1666985238387,175.426440142046,76.4714695815441,239.782755448341,277.248386739051,179.76540538938,245.455943023859,132.292622956833,303.299072439144,224.319754956063,197.001791353658,236.252
2015M01,77.9104638315474,108.651183443437,189.722727687521,185.949430307244,228.936371404487,126.116203399369,152.56106204676,228.055106319906,102.403290976713,96.8838320189881,69.5602428805383,281.699542714677,76.9683293717621,93.9360006659915,135.619613354349,128.790657569505,138.455337106866,144.162612194246,126.035605039517,83.7832285902031,102.007129297652,141.303866527136,119.37917877889,185.260038238285,110.88247417592,92.6741460596586,85.8435490866039,88.2338422729178,169.005437170553,85.2843477475825,236.749192872158,271.096424028034,164.095538375713,236.36847112833,129.303132226786,317.825113269037,237.685261501647,203.076902487009,234.747
2015M02,77.8462849887465,102.180425910582,171.17866783384,202.512242842247,231.986407146216,118.576284232507,146.891982143565,223.527828483302,105.925326271874,97.2509193274073,66.9879641042007,273.750791332507,77.4143105378517,93.4771908775376,134.474957536356,126.082887118491,165.243148495094,174.258450182782,133.940690756656,84.4023795301891,86.1946848171258,140.55129301374,119.024460340503,202.035364643984,103.817300181997,93.3905069863108,82.0763874987976,87.6551273697154,161.245433379456,93.5040740261988,221.338737382593,287.661049458111,155.014129885989,232.035486757406,128.043257629756,310.777352198631,233.548455445215,195.357782106307,235.342
2015M03,75.7598208759619,104.059224690858,169.026823954656,195.353928558067,224.809284106272,105.167468369756,145.709026771627,231.113786048503,104.898075244911,97.3846462576403,61.5256481690368,272.529832756592,76.5853362938885,91.901707370551,134.526594705753,118.683458452165,158.711423347478,169.949239584272,125.853275006388,79.4119877963534,85.7809938641874,140.792170316765,116.161583800852,193.361811691651,95.3628271573888,91.0610471238368,78.1738712163758,85.5279779451827,160.266080647963,96.7799827175407,210.91375103787,295.377336270065,155.324882935489,226.982344799262,123.496744000319,297.678424273782,224.333200618993,185.240286552066,235.976
2015M04,77.6146484660805,104.082177253623,174.243917636876,174.743135306477,223.813666817934,108.294600649425,145.334670221493,234.854061172037,108.34112704568,93.5683443236554,60.9351215394196,304.580885294734,76.3384264717213,92.4511476795025,132.734946021603,110.590869190741,168.773733999639,181.385371691824,142.613569248699,80.5994319122157,84.687625688754,141.50710014174,113.63192713172,189.256355786382,94.7820139496948,90.7050955266889,81.8679579556488,83.9133906201674,167.585043045639,91.3913434017688,192.299285727081,291.489991157045,149.988242986674,229.443866846855,134.557166751422,302.232769193727,225.439592594207,186.968163580932,236.222
2015M05,76.7153371257177,103.36303476864,161.345943209612,186.89887518924,240.789010037671,103.502713091178,149.050916356013,243.871737411246,109.731984834106,89.9448671193172,61.409955903037,301.522902943573,72.214348582264,91.2012300709487,127.839826901521,116.072664967421,182.865570846643,196.228598315347,155.408933663675,86.5404899583047,107.022029136162,142.262585924324,110.377967889067,204.338729542572,94.4335574331739,93.5415483363643,80.1308868540429,85.8153304968863,180.350081034331,98.3183450554691,190.494578591462,266.962312726672,147.424465222302,255.977465528425,138.301758393616,301.526789600761,231.335319279775,184.629312728772,237.001
2015M06,71.571157667785,98.0329828470767,157.533377362946,179.100334545885,251.284186503412,104.259151285471,157.974368721279,225.358298655669,108.661649840336,87.7821951140214,59.9961404079538,276.192443520152,68.6558214602951,88.76672791435,127.842552427105,109.874293921504,176.104259466667,189.79867277274,156.399996485514,87.1429759128969,106.768028015368,141.913942011434,106.652760707722,202.389321084968,94.9644178641098,93.8687621227876,73.9435018230338,83.3675814982178,183.336952323371,111.192394405353,181.089751164988,268.87350322973,152.05312459139,268.00918625385,125.848727846624,296.293862457668,221.016319986292,175.875400929618,237.657
